,contributors,coordinates,created_at,entities,favorite_count,favorited,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,metadata,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,source,text,truncated,user
contributors,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
contributors_enabled,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,False
coordinates,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
created_at,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,Sun Mar 04 00:49:54 +0000 2018,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,Wed Jul 22 03:17:54 +0000 2009
default_profile,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,True
default_profile_image,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,False
description,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,"Jim is from Iowa, Australia, and North Carolina. He teaches electronics and high-speed photography at MIT."
entities,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/9…', 'expanded_url': 'https://twitter.com/i/web/status/970098975935221760', 'indices': [117, 140], 'url': 'https://t.co/L5AGrFyNyC'}], 'user_mentions': []}",970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,{'description': {'urls': []}}
favorite_count,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,0,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
favorited,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,False,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
favourites_count,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,63
follow_request_sent,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
followers_count,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,81
following,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
friends_count,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,50
geo,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,
geo_enabled,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,True
has_extended_profile,,,2018-03-04 05:14:48,,2,False,,970165643650662405,970165643650662400,,,,,,True,en,,,False,,970098975935221760,970098975935221760,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I suspect it is not learned helplessness. Rather, I believe,  it is as Upton Sinclair said: ""It is difficult to get… https://t.co/8Y7TM844tC",True,False
